"Geschlecht","Alter","AnzahlGeschwister","WohnortMuenster","Wohntyp","Wohnflaeche","Wohnzufriedenheit","Wohnkosten","FahrzeitRadDom","MatheVorkurs","Studiengang","Lehre","AnderesStudium","Bundesland","EntfernungSchule","Abiturnote","Mathematik","SoWi","Spanisch","Informatik","Deutsch","Sport","Musik","Englisch","Physik","Erdkunde","Geschichte","Chemie","Kunst","Biologie","Franzoesisch","Wirtschaft","Keine","Textfeld","MathenoteDurchschnitt","Auslandsaufenthalt","Nebenjob","Bafoeg","Monatsbudget","Verkehrsmittel","SozialesEngagement","Buecher","ErwartetesGehalt","40Prozent","60Prozent","Medienvertrauen"
"weiblich",19,"1","ja","alleine in einer Wohnung",36,"zufrieden",640,"zwischen 5 und 10 min","nein","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","100-200 km",1.3,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","nein",0,0,1000,"Fahrrad",0,"101-500",41000,"40","3/5",52
"männlich",18,"1","ja","in einer WG",55,"zufrieden",370,"weniger als 2 min","nein","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","100-200 km",2.3,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"3","nein",20,0,990,"zu Fuß",0,"501-1000",1e+05,"40","3/5",57
"weiblich",23,"2","ja","in einer WG",22,"sehr zufrieden",375,"zwischen 5 und 10 min","nein","Betriebswirtschaftslehre","ja und ich habe diese Ausbildung abgeschlossen","nein","Niedersachsen","100-200 km",2.7,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,"10","nein",8,0,1000,"Fahrrad",0,"51-100",45000,"40","3/5",79
"weiblich",19,"1","ja","alleine in einer Wohnung",32,"zufrieden",NA,"zwischen 5 und 10 min","ja","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","20-50 km",1.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pädagogik","12","nein",10,0,NA,"ÖPNV",0,"101-500",40000,"40","60",50
"männlich",19,"2","ja","in einer WG",20,"sehr zufrieden",270,"zwischen 2 und 5 min","nein","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","100-200 km",1.9,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","ja",9,0,1400,"Fahrrad",0,"101-500",50000,"40","60",67
"männlich",19,"1","ja","alleine in einer Wohnung",23,"sehr zufrieden",380,"zwischen 5 und 10 min","nein","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","50-100 km",1.8,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"14","nein",0,266,NA,"Fahrrad",0,"501-1000",30000,"40","3/5",23
"weiblich",23,"3","ja","in einer WG",19,"sehr zufrieden",400,"zwischen 5 und 10 min","nein","Wirtschaft und Recht","ja und ich habe diese Ausbildung abgeschlossen","nein","Nordrhein-Westfalen","20-50 km",2.7,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"7","nein",6,0,NA,"Fahrrad",0,"101-500",2500,"40","3/5",45
"weiblich",18,"3","ja","alleine in einer Wohnung",28,"sehr zufrieden",0,"zwischen 10 und 15 min","nein","Wirtschaft und Recht","nein","nein","Nordrhein-Westfalen","50-100 km",2.1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"12","nein",8,0,500,"Fahrrad",0,"51-100",NA,"40","60",74
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"weiblich",21,"1","ja","in einer WG",20,"zufrieden",500,"weniger als 2 min","nein","Betriebswirtschaftslehre","nein","nein","Niedersachsen","200-500 km",2.3,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,"13","ja",0,125,815,"Fahrrad",0,"101-500",40000,"40","3/5",32
"männlich",18,"2","ja","in einer WG",16,"es ist okay",525,"zwischen 5 und 10 min","nein","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","20-50 km",1.8,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"13","nein",10,0,600,"Fahrrad",15,"501-1000",3000,"40","3/5",30
"männlich",19,"0","nein","bei meinen Eltern",30,"sehr zufrieden",NA,"Ich wohne nicht in Münster","nein","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","50-100 km",1.8,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"11","nein",0,0,NA,"ÖPNV",24,"101-500",65000,"40","60",89
"weiblich",NA,"2","nein","bei meinen Eltern",17,"es ist okay",0,"Ich wohne nicht in Münster","nein","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","20-50 km",2.5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pädagogik","12","nein",10,0,300,"ÖPNV",0,"1-50",35000,"40","60",69
"weiblich",20,"0","ja","alleine in einer Wohnung",34,"sehr zufrieden",NA,"zwischen 5 und 10 min","nein","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","50-100 km",1.7,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pädagogik","13","ja",4,0,450,"Fahrrad",0,"101-500",NA,"40","60",63
"weiblich",20,"1","ja","in einer WG",87,"sehr zufrieden",450,"zwischen 10 und 15 min","nein","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","100-200 km",2.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pädagogik","12","nein",5,0,NA,"Fahrrad",5,"501-1000",2500,"40","3/5",37
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"weiblich",20,"1","nein","bei meinen Eltern",NA,"es ist okay",NA,"Ich wohne nicht in Münster","nein","Wirtschaft und Recht","nein","nein","Nordrhein-Westfalen","0-10 km",1.8,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"13","nein",8,0,NA,"ÖPNV",0,"51-100",35000,"40","3/5",74
"weiblich",18,"1","ja","in einer WG",11,"zufrieden",580,"zwischen 5 und 10 min","nein","Betriebswirtschaftslehre","nein","nein","Ich habe meinen Schulabschluss nicht in Deutschland gemacht","mehr als 1000 km",1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"7","ja",0,0,NA,"Fahrrad",80,"101-500",23500,"40","3/5",98
"weiblich",18,"2","ja","bei meinen Eltern",NA,"zufrieden",NA,"zwischen 15 und 20 min","nein","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","0-10 km",1.2,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","ja",10,0,NA,"Fahrrad",0,"51-100",NA,"40","60",66
"weiblich",19,"4","ja","in einem Wohnheim",11,"zufrieden",NA,"zwischen 10 und 15 min","nein","Wirtschaft und Recht","nein","nein","Bayern","500-1000 km",2.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,"latein","10","nein",0,0,750,"ÖPNV",0,"1-50",35000,"40","3/5",67
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"männlich",18,"1","ja","in einem Wohnheim",20,"zufrieden",320,"zwischen 5 und 10 min","ja","Betriebswirtschaftslehre","nein","nein","Ich habe meinen Schulabschluss nicht in Deutschland gemacht","mehr als 1000 km",2.1,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","ja",0,0,1500,"Fahrrad",0,"501-1000",40000,"40","3/5",22
"weiblich",19,"1","ja","in einer WG",20,"sehr zufrieden",NA,"zwischen 10 und 15 min","ja","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","50-100 km",1.8,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"13","nein",0,0,NA,"zu Fuß",0,"51-100",NA,"40","3/5",17
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"männlich",20,"2","ja","alleine in einer Wohnung",25,"zufrieden",630,"zwischen 2 und 5 min","nein","Volkswirtschaftslehre","nein","ja, aber ich habe dieses Studium nicht abgeschlossen","Nordrhein-Westfalen","50-100 km",2.9,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","ja",0,0,1200,"Fahrrad",0,"101-500",50000,"40","3/5",83
"männlich",19,"1","nein","bei meinen Eltern",60,"sehr zufrieden",0,"Ich wohne nicht in Münster","nein","Volkswirtschaftslehre","nein","nein","Nordrhein-Westfalen","20-50 km",2.1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","nein",0,0,300,"ÖPNV",0,"51-100",30000,"40","60",42
"männlich",19,"1","ja","in einer WG",15,"sehr zufrieden",300,"zwischen 2 und 5 min","ja","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","100-200 km",2,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","nein",0,0,600,"Fahrrad",5,"51-100",40000,"40","3/5",50
"männlich",20,"1","ja","in einer WG",15,"unzufrieden",240,"zwischen 15 und 20 min","nein","Volkswirtschaftslehre","nein","nein","Niedersachsen","100-200 km",2.6,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,"12","nein",10,0,NA,"ÖPNV",10,"101-500",45000,"40","3/5",56
"männlich",21,"1","ja","in einer WG",16,"zufrieden",400,"zwischen 2 und 5 min","nein","Volkswirtschaftslehre","ja und ich habe diese Ausbildung abgeschlossen","nein","Nordrhein-Westfalen","50-100 km",3,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9","nein",0,0,700,"Fahrrad",0,"51-100",4500,"40","60",51
"weiblich",18,"1","ja","in einem Wohnheim",18,"zufrieden",319,"zwischen 5 und 10 min","nein","Betriebswirtschaftslehre","nein","nein","Hessen","200-500 km",1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,"14","nein",0,0,700,"ÖPNV",0,"101-500",60000,"40","60",85
"weiblich",19,"1","ja","alleine in einer Wohnung",30,"zufrieden",570,"zwischen 2 und 5 min","nein","Betriebswirtschaftslehre","nein","nein","Hamburg","200-500 km",2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,"7","nein",7,0,1000,"Fahrrad",0,"101-500",40000,"40","3/5",66
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"männlich",18,"1","ja","in einer WG",12,"zufrieden",NA,"weniger als 2 min","nein","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","100-200 km",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","nein",0,76,NA,"zu Fuß",0,"101-500",2700,"40","3/5",26
"männlich",21,"3","ja","in einem Wohnheim",12,"zufrieden",180,"zwischen 5 und 10 min","nein","Betriebswirtschaftslehre","nein","nein","Niedersachsen","100-200 km",2.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,"12","ja",0,500,1200,"Fahrrad",0,"1-50",60000,"40","60",60
"weiblich",20,"1","ja","in einer WG",20,"zufrieden",450,"zwischen 2 und 5 min","nein","Betriebswirtschaftslehre","nein","nein","Baden-Württemberg","500-1000 km",1.9,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","nein",0,0,650,"Fahrrad",0,"1001-2000",NA,"40","60",84
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"weiblich",21,"1","ja","in einem Wohnheim",25,"zufrieden",380,"zwischen 15 und 20 min","ja","Betriebswirtschaftslehre","ja und ich habe diese Ausbildung abgeschlossen","nein","Nordrhein-Westfalen","50-100 km",1.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Betriebswirtschaftslehre","14","nein",7,0,1100,"Fahrrad",0,"1-50",70000,"40","3/5",89
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"männlich",18,"1","ja","in einer WG",38.5,"sehr zufrieden",779,"zwischen 5 und 10 min","nein","Betriebswirtschaftslehre","nein","nein","Hamburg","200-500 km",2,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,"11","nein",0,0,850,"Fahrrad",0,"1001-2000",50000,"40","60",91
"weiblich",19,"1","ja","in einem Wohnheim",38,"sehr zufrieden",470,"zwischen 20 und 30 min","nein","Betriebswirtschaftslehre","nein","nein","Niedersachsen","200-500 km",2.1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"Politik-Wirtschaft","13","nein",0,0,NA,"ÖPNV",0,"501-1000",40300,"40","60",80
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"weiblich",20,"2","nein","bei meinen Eltern",11,"sehr zufrieden",0,"mehr als 30 min","nein","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","20-50 km",2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,"10","nein",0,511,NA,"ÖPNV",0,"1-50",NA,"4","60",2
"weiblich",20,"1","ja","in einer WG",16,"zufrieden",410,"zwischen 5 und 10 min","ja","Betriebswirtschaftslehre","nein","nein","Schlewsig-Holstein","200-500 km",2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,"9","nein",0,0,800,"Fahrrad",0,"51-100",40000,"40","60",77
"männlich",19,"1","ja","in einer WG",17,"es ist okay",190,"zwischen 2 und 5 min","nein","Wirtschaft und Recht","nein","nein","Nordrhein-Westfalen","20-50 km",1.7,1,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"3","nein",0,0,300,"Fahrrad",3,"1-50",60000,"40","3/5",74
"weiblich",20,"0","ja","zusammen mit meinem Partner/meiner Partnerin",62,"sehr zufrieden",582.5,"zwischen 10 und 15 min","nein","Betriebswirtschaftslehre","ja und ich habe diese Ausbildung abgeschlossen","nein","Nordrhein-Westfalen","20-50 km",1.6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","nein",12,747,1894,"Fahrrad",0,"1-50",45000,"40","3/5",67
"weiblich",19,"1","ja","in einem Wohnheim",15,"zufrieden",280,"weniger als 2 min","nein","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","100-200 km",1.6,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"12","ja",10,0,400,"zu Fuß",0,"101-500",40000,"40","3/5",78
"weiblich",18,"1","ja","in einer WG",12,"es ist okay",NA,"zwischen 15 und 20 min","ja","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","50-100 km",1.5,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","nein",0,0,NA,"Fahrrad",2,"501-1000",NA,"40","60",51
"weiblich",20,"1","nein","bei meinen Eltern",14,"zufrieden",NA,"Ich wohne nicht in Münster","ja","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","0-10 km",2.3,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"12","nein",7,211,500,"ÖPNV",0,"51-100",NA,"40","60",52
"weiblich",19,"1","ja","alleine in einer Wohnung",32,"es ist okay",405,"zwischen 15 und 20 min","ja","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","50-100 km",2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"10","nein",0,0,NA,"ÖPNV",0,"101-500",40000,"40","60",54
"männlich",20,"1","ja","alleine in einer Wohnung",34,"unzufrieden",350,"zwischen 20 und 30 min","nein","Betriebswirtschaftslehre","nein","nein","Niedersachsen","200-500 km",1.6,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,"9","nein",0,0,1000,"ÖPNV",0,"501-1000",42000,"40","3/5",81
"männlich",18,"1","ja","in einer WG",16,"zufrieden",350,"zwischen 10 und 15 min","nein","Betriebswirtschaftslehre","nein","nein","Schlewsig-Holstein","200-500 km",1.2,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,"Latein","15","nein",0,0,1000,"Fahrrad",4,"501-1000",80000,"40","60",77
"weiblich",20,"2","ja","zusammen mit meinem Partner/meiner Partnerin",48,"sehr zufrieden",325,"zwischen 5 und 10 min","ja","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","50-100 km",2.4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pädagogik","6","nein",0,0,300,"Fahrrad",0,"101-500",40000,"40","3/5",88
"weiblich",18,"1","ja","bei meinen Eltern",300,"zufrieden",0,"zwischen 15 und 20 min","ja","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","0-10 km",2.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"12","nein",0,0,100,"Fahrrad",8,"501-1000",40000,"40","3/5",87
"weiblich",18,"1","ja","in einer WG",20,"sehr zufrieden",680,"zwischen 10 und 15 min","nein","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","100-200 km",1.7,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","ja",0,0,1000,"Fahrrad",3,"501-1000",35000,"40","60",74
"männlich",18,"2","ja","alleine in einer Wohnung",15,"sehr zufrieden",700,"zwischen 2 und 5 min","nein","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","100-200 km",1.7,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","ja",0,0,600,"Fahrrad",0,"501-1000",60000,"40","60",83
"weiblich",19,"1","ja","in einer WG",14,"sehr zufrieden",573,"zwischen 2 und 5 min","nein","Betriebswirtschaftslehre","nein","nein","Niedersachsen","100-200 km",1.7,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,"Pädagogik und Psychologie","12","nein",10,0,1100,"zu Fuß",0,"101-500",NA,"40","60",84
"männlich",29,"1","ja","alleine in einer Wohnung",40,"es ist okay",360,"zwischen 20 und 30 min","ja","Betriebswirtschaftslehre","nein","ja, aber ich habe dieses Studium nicht abgeschlossen","Nordrhein-Westfalen","100-200 km",1.4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"3","nein",0,0,900,"ÖPNV",0,"51-100",3000,"40","60",0
"männlich",26,"2","ja","bei meinen Eltern",15,"sehr zufrieden",NA,"zwischen 20 und 30 min","nein","Volkswirtschaftslehre","ja und ich habe diese Ausbildung abgeschlossen","ja, aber ich habe dieses Studium nicht abgeschlossen","Nordrhein-Westfalen","0-10 km",1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,"13","ja",16,0,930,"ÖPNV",0,"51-100",42000,"40","60",40
"weiblich",19,"1","ja","in einem Wohnheim",16,"zufrieden",350,"zwischen 15 und 20 min","nein","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","50-100 km",1.2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"14","nein",0,352,800,"Fahrrad",0,"101-500",35000,"40","60",62
"männlich",20,"1","ja","in einer WG",13,"zufrieden",310,"zwischen 5 und 10 min","nein","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","20-50 km",1.7,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","ja",8,110,800,"Fahrrad",0,"1-50",40000,"40","60",59
"männlich",18,"3","ja","in einer WG",37,"zufrieden",450,"zwischen 10 und 15 min","nein","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","100-200 km",1.3,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","nein",0,0,NA,"Fahrrad",0,"101-500",60000,"40","60",66
"divers",21,"1","ja","zusammen mit meinem Partner/meiner Partnerin",50,"sehr zufrieden",785,"zwischen 10 und 15 min","nein","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","50-100 km",1.9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"11","nein",4,0,800,"Fahrrad",0,"51-100",50000,"40","60",66
"männlich",20,"0","nein","bei meinen Eltern",300,"sehr zufrieden",0,"Ich wohne nicht in Münster","nein","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","50-100 km",1.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"11","ja",35,0,600,"ÖPNV",0,"1-50",45000,"40","60",13
"männlich",18,"2","ja","alleine in einer Wohnung",25,"sehr zufrieden",500,"zwischen 10 und 15 min","nein","Volkswirtschaftslehre","nein","ja, aber ich habe dieses Studium nicht abgeschlossen","Bremen","100-200 km",1.9,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","nein",0,0,NA,"Fahrrad",0,"501-1000",50000,"40","60",69
"weiblich",20,"1","ja","in einer WG",10,"zufrieden",300,"zwischen 10 und 15 min","ja","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","50-100 km",1.7,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"13","nein",12,0,NA,"Fahrrad",0,"101-500",35500,"40","60",62
"männlich",19,"0","ja","in einem Wohnheim",20,"sehr zufrieden",420,"zwischen 10 und 15 min","ja","Betriebswirtschaftslehre","nein","nein","Niedersachsen","200-500 km",1.5,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,"13","nein",0,0,750,"Fahrrad",0,"101-500",40000,"40","60",77
"männlich",19,"1","ja","alleine in einer Wohnung",23.06,"sehr zufrieden",650,"zwischen 2 und 5 min","nein","Betriebswirtschaftslehre","nein","ja, aber ich habe dieses Studium nicht abgeschlossen","Nordrhein-Westfalen","20-50 km",1.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"13","nein",6,0,500,"Fahrrad",2,"501-1000",50000,"40","60",60
"weiblich",24,"1","nein","zusammen mit meinem Partner/meiner Partnerin",58,"unzufrieden",302,"Ich wohne nicht in Münster","ja","Wirtschaft und Recht","nein","ja, aber ich habe dieses Studium nicht abgeschlossen","Nordrhein-Westfalen","20-50 km",1.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"11","ja",9.5,0,1530,"ÖPNV",0,"101-500",60000,"40","3/5",81
"männlich",21,"2","ja","in einer WG",30,"sehr zufrieden",700,"zwischen 2 und 5 min","nein","Volkswirtschaftslehre","nein","ja, aber ich habe dieses Studium nicht abgeschlossen","Bremen","100-200 km",2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,"12","nein",0,0,500,"zu Fuß",0,"0",NA,"40","60",82
"weiblich",20,"2","ja","in einer WG",20,"unzufrieden",420,"zwischen 20 und 30 min","ja","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","100-200 km",2.6,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pädagogik","6","nein",0,812,912,"ÖPNV",0,"1-50",60000,"40","3/5",63
"männlich",22,"1","ja","in einer WG",16,"es ist okay",297,"zwischen 5 und 10 min","nein","Betriebswirtschaftslehre","ja und ich habe diese Ausbildung abgeschlossen","nein","Niedersachsen","100-200 km",2.8,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,"10","nein",0,0,NA,"Fahrrad",10,"501-1000",42500,"40","3/5",89
"männlich",19,"0","ja","in einem Wohnheim",19,"es ist okay",NA,"zwischen 5 und 10 min","nein","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","50-100 km",2.2,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","nein",0,0,NA,"Fahrrad",0,"101-500",50000,"40","3/5",67
"männlich",18,"1","ja","in einem Wohnheim",10,"es ist okay",280,"zwischen 5 und 10 min","nein","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","100-200 km",1.4,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"12","nein",0,0,550,"Fahrrad",10,"101-500",60000,"40","60",37
